"opera","class_mus","livemusperf","play","museum","book","cinema","sport","party","income","educ"
2,2,2,2,2,2,1,1,NA,5,3
2,2,1,1,2,1,1,1,NA,5,1
2,1,1,1,1,1,1,1,1,3,2
2,2,1,2,2,1,1,1,NA,5,1
2,2,2,2,1,1,1,2,NA,5,2
2,2,1,1,2,1,1,1,1,5,2
1,1,1,1,1,2,1,1,NA,4,1
2,1,1,1,1,2,1,1,1,5,2
2,2,1,2,1,2,1,2,2,3,1
2,2,2,2,1,2,1,1,NA,5,2
2,2,1,2,1,1,1,1,NA,2,2
2,1,1,1,1,1,1,1,NA,5,2
2,1,1,2,2,2,1,2,NA,5,1
2,2,1,2,2,2,1,1,2,3,1
2,1,1,2,1,1,1,1,1,2,1
2,2,1,2,1,1,1,1,2,5,1
2,2,1,1,2,1,1,1,1,5,1
2,1,1,2,1,1,1,1,1,3,1
2,2,1,1,1,1,1,1,2,5,3
2,2,1,2,1,2,1,1,NA,4,2
2,2,1,2,2,2,1,1,NA,5,1
2,2,1,1,1,1,1,1,2,5,2
2,2,1,1,2,1,1,1,NA,2,1
2,2,1,1,1,1,1,1,1,4,2
2,1,1,1,1,1,1,1,NA,5,1
2,2,2,1,1,2,1,1,1,5,3
2,1,1,2,2,1,1,1,NA,5,2
2,2,1,1,2,1,1,1,2,3,1
2,NA,1,1,2,1,1,1,2,3,1
2,2,1,1,1,1,1,1,1,5,1
2,2,1,1,2,1,1,1,1,5,1
2,2,1,2,2,1,1,1,NA,4,2
1,1,1,2,1,1,1,1,NA,4,1
2,2,1,1,2,1,1,1,NA,5,1
2,2,2,2,2,2,1,1,2,3,2
2,2,1,2,1,1,1,2,1,3,2
2,2,1,2,1,2,1,1,4,5,1
2,1,1,2,2,2,1,1,2,5,1
2,1,1,1,1,1,1,1,1,3,1
2,1,1,1,2,1,1,1,NA,3,1
2,2,2,2,2,1,2,1,2,3,1
2,2,2,2,2,1,1,1,2,5,2
2,2,1,NA,1,1,1,1,2,4,1
2,1,1,1,2,1,1,1,NA,5,3
2,2,1,2,2,2,1,1,NA,5,2
2,2,1,1,1,2,1,1,1,5,2
2,2,1,2,2,1,1,1,NA,5,2
2,1,1,2,1,2,1,1,NA,3,2
2,2,1,1,1,1,1,1,2,4,3
2,2,1,1,1,2,1,2,NA,3,1
2,2,1,2,1,2,1,1,NA,5,1
2,2,2,2,1,1,1,1,NA,5,1
2,1,1,2,1,1,1,1,1,1,2
2,2,2,1,2,1,1,2,2,5,3
2,1,1,1,2,1,1,1,1,5,3
2,2,1,2,1,1,1,1,NA,5,1
2,2,1,NA,1,1,1,2,NA,5,2
2,1,1,2,1,1,1,1,1,4,2
2,2,2,2,1,1,1,1,1,4,1
2,2,2,2,2,1,1,1,NA,5,1
2,2,1,2,2,1,1,1,5,5,2
2,2,1,2,2,1,1,1,2,5,1
2,2,1,2,2,1,1,1,NA,3,1
2,2,2,1,2,1,1,1,2,5,3
2,2,1,2,2,1,1,1,1,4,1
2,2,1,1,1,1,1,1,1,5,1
2,2,1,2,2,2,1,2,2,5,2
2,2,2,2,2,2,1,1,NA,2,1
2,2,1,2,1,2,1,1,NA,4,2
2,2,2,2,2,2,1,1,NA,2,1
2,2,1,1,2,1,1,1,NA,5,1
2,2,1,2,1,2,1,1,NA,5,2
2,1,1,1,1,1,1,1,NA,2,1
2,1,1,2,1,2,1,1,NA,3,1
2,2,1,2,1,1,1,2,NA,3,3
2,2,1,1,1,1,1,1,1,5,1
2,2,1,2,1,1,1,1,1,1,3
2,2,1,1,2,1,1,1,NA,4,1
2,2,2,2,1,2,1,1,1,3,2
2,2,1,2,1,1,1,2,1,4,1
2,1,1,1,1,1,1,1,NA,3,1
2,2,2,1,1,2,1,1,NA,2,2
2,2,1,1,1,2,1,1,2,4,3
2,2,1,1,2,1,1,1,2,5,1
2,2,1,2,2,2,1,2,1,3,2
2,2,2,2,1,1,1,1,NA,4,1
2,2,1,2,1,1,1,1,1,4,1
2,2,1,NA,2,1,1,1,NA,2,1
2,2,1,1,1,2,1,1,NA,5,1
2,2,1,2,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,4,2
2,2,1,2,2,1,1,1,2,5,3
2,1,1,1,1,2,1,1,NA,5,3
2,1,1,1,2,1,1,1,1,5,3
2,2,NA,1,1,1,1,1,1,4,2
2,2,2,2,1,2,1,1,NA,5,1
2,2,2,2,1,1,1,1,2,4,2
2,2,1,1,1,1,1,2,NA,4,1
2,1,1,2,2,1,1,1,NA,5,1
2,2,1,2,1,2,1,1,NA,5,2
2,2,1,2,2,1,1,2,NA,4,1
2,2,1,2,2,2,1,1,NA,5,2
2,1,1,1,1,1,1,1,1,5,2
2,2,1,2,1,1,1,1,1,4,1
2,2,1,2,2,2,1,1,NA,2,1
2,2,1,2,1,1,1,1,1,2,2
2,2,1,2,2,2,1,1,NA,5,1
2,2,1,2,1,1,1,1,1,3,1
2,2,2,2,2,1,1,2,NA,3,3
2,2,2,2,1,1,1,1,NA,5,1
2,2,1,2,2,2,1,1,1,3,2
2,2,1,2,2,2,1,1,NA,5,1
2,2,1,2,1,1,1,1,1,2,2
2,2,2,NA,1,NA,1,1,NA,1,1
2,2,1,2,2,2,1,1,NA,5,3
2,2,1,1,2,2,1,1,NA,2,2
2,2,2,2,1,1,1,1,NA,4,1
2,1,1,NA,1,2,1,1,1,4,2
2,2,1,2,2,1,1,1,2,4,1
2,2,1,2,2,1,1,1,1,2,1
2,2,1,2,1,2,1,1,NA,4,1
2,1,1,2,2,1,1,1,NA,4,1
2,2,1,2,1,2,1,1,1,3,2
2,1,1,1,2,2,1,1,NA,5,1
2,2,2,2,1,1,1,1,5,5,2
2,1,2,1,1,1,1,1,NA,5,2
2,2,2,2,1,1,1,1,NA,5,1
2,2,1,2,2,2,1,1,2,5,2
2,1,1,1,1,1,1,1,NA,4,1
2,2,1,1,1,2,2,2,2,3,3
2,2,2,2,2,2,1,1,NA,4,1
2,2,2,2,1,1,1,1,NA,3,1
2,2,1,1,1,2,1,1,1,5,1
2,2,1,2,1,1,1,1,NA,4,1
2,2,2,2,2,1,1,1,1,2,1
2,1,1,1,1,1,1,1,NA,5,1
2,2,1,2,1,1,1,1,2,3,1
2,2,1,1,1,1,1,1,NA,2,2
2,2,1,1,1,1,1,1,1,5,2
2,2,1,2,1,2,1,1,NA,4,1
2,1,1,2,2,1,1,2,NA,5,1
2,2,1,NA,1,1,1,1,1,4,2
2,2,1,1,1,1,1,1,1,2,1
2,2,1,1,1,1,1,1,2,1,2
2,2,1,2,1,2,1,1,NA,5,1
2,2,2,2,2,2,1,1,2,5,1
2,2,1,2,2,2,1,1,NA,5,1
2,1,1,1,1,1,1,2,1,4,1
2,1,1,2,1,1,1,1,2,5,2
2,1,1,1,1,1,1,1,1,4,3
2,2,1,2,2,1,1,2,1,3,2
2,2,1,2,1,2,1,1,1,2,3
2,1,1,1,1,1,1,1,NA,4,1
2,2,1,1,NA,2,1,1,NA,4,1
2,2,1,1,2,2,1,1,1,4,1
2,1,1,1,1,1,1,1,1,3,2
2,2,1,1,2,2,1,1,NA,3,2
2,2,2,2,2,1,1,2,5,5,1
2,2,2,1,1,1,1,2,NA,3,1
2,2,1,2,2,1,1,1,NA,2,2
2,2,1,2,2,2,1,1,NA,3,1
2,1,1,1,2,1,1,2,1,5,2
2,NA,1,2,1,1,1,1,1,5,1
2,2,1,1,2,2,1,1,NA,4,1
2,2,1,1,2,1,1,1,NA,5,2
2,2,1,1,1,1,1,1,2,5,2
2,1,1,1,2,1,1,1,2,5,2
2,2,1,2,2,2,1,1,1,5,1
2,2,2,2,1,2,1,1,NA,2,1
2,2,1,2,1,1,1,1,NA,3,1
2,2,1,2,1,1,1,1,1,2,1
2,2,2,1,2,1,1,2,2,5,3
2,2,1,2,2,2,1,1,NA,5,1
2,1,2,2,2,1,1,1,1,3,1
2,2,2,2,1,2,1,1,NA,3,1
2,2,1,2,1,1,1,2,1,2,1
2,2,1,1,1,2,1,1,NA,3,1
1,1,1,1,1,1,1,1,1,3,1
2,2,1,1,1,2,1,1,NA,5,1
2,2,2,2,2,1,1,1,1,2,1
2,2,2,2,2,2,2,2,NA,5,2
2,2,2,2,2,1,1,1,NA,2,1
2,2,1,2,2,2,1,1,NA,5,1
2,2,2,2,2,2,2,1,NA,5,1
2,NA,1,2,NA,1,NA,2,2,5,2
2,2,2,2,2,2,1,1,NA,5,3
2,2,1,1,1,2,1,1,1,5,1
2,2,1,2,1,1,1,1,2,5,1
2,2,1,2,1,1,1,1,1,3,2
2,2,2,2,1,1,1,1,2,4,1
2,2,2,2,2,2,1,1,NA,5,3
2,1,1,NA,1,2,1,1,NA,4,1
2,2,1,1,1,2,1,1,1,4,3
2,2,1,2,1,1,1,1,NA,3,1
2,1,1,1,2,2,1,1,2,3,1
2,2,1,2,1,2,1,1,NA,3,1
2,1,1,1,2,2,1,1,NA,5,2
2,2,1,2,1,2,1,1,NA,5,2
2,1,1,1,1,1,1,1,1,5,3
2,1,1,1,2,1,1,1,NA,5,2
2,2,1,1,2,1,1,1,NA,5,1
2,2,2,1,2,1,1,1,NA,4,1
2,2,1,1,1,1,1,1,NA,3,1
2,1,1,2,1,1,1,2,1,4,2
2,1,1,1,1,1,1,1,NA,5,2
2,2,1,2,2,2,2,1,NA,5,1
2,2,1,1,1,1,1,1,NA,5,1
2,2,1,1,1,1,1,1,1,2,2
1,2,1,2,2,1,1,1,3,4,2
2,2,1,2,1,1,1,2,NA,3,1
2,1,1,2,1,2,1,1,NA,5,1
2,2,1,1,1,1,1,1,NA,5,1
2,2,1,2,1,1,1,1,1,3,2
2,2,2,1,2,1,1,1,2,5,1
2,2,2,2,2,2,1,1,NA,5,2
1,2,1,1,1,1,1,1,1,4,2
2,2,1,2,2,1,1,1,1,4,2
2,2,1,2,1,1,1,1,2,5,2
2,2,1,2,1,1,1,1,NA,5,1
2,2,2,2,1,2,1,1,2,4,2
2,2,1,1,1,1,1,1,NA,3,1
2,2,2,2,1,2,1,1,5,5,2
2,2,2,1,2,1,1,1,NA,5,1
2,2,1,2,2,1,1,1,NA,3,2
2,2,2,2,1,1,1,1,1,4,2
2,2,1,1,1,1,1,1,NA,5,2
2,2,1,2,1,1,1,1,1,5,1
2,2,2,2,2,2,1,1,1,3,2
2,1,1,1,1,1,1,2,1,5,1
2,2,1,1,1,1,1,1,NA,5,1
2,2,2,2,2,2,1,1,NA,4,1
2,2,1,1,1,2,1,1,NA,5,1
2,2,1,2,1,1,1,1,1,3,3
2,2,1,2,2,2,1,1,NA,3,1
2,2,1,1,1,2,1,1,NA,4,1
2,2,1,2,2,2,1,1,NA,5,1
2,1,1,1,1,2,1,1,2,2,2
2,1,1,1,1,1,1,1,NA,3,1
2,2,2,1,1,1,1,1,1,4,2
2,2,1,2,2,2,2,1,NA,5,1
2,2,1,2,2,2,1,1,1,5,1
2,2,1,2,2,1,1,1,2,5,3
2,2,1,1,1,1,1,1,NA,2,1
2,2,1,1,1,1,1,1,NA,3,1
2,2,1,2,1,1,1,1,1,4,1
2,2,2,2,2,2,1,1,NA,4,2
2,2,1,2,1,1,1,1,NA,5,3
2,2,1,2,2,1,1,1,2,5,1
2,2,1,1,1,1,1,1,1,2,2
2,2,1,2,2,1,2,1,NA,4,2
2,1,1,2,1,1,1,1,1,3,3
1,2,1,1,1,1,1,1,NA,5,1
2,2,1,1,1,1,1,1,NA,5,1
2,2,1,1,1,1,1,1,1,5,1
2,2,1,2,2,2,1,1,NA,5,1
2,2,1,2,1,2,1,1,NA,5,3
2,2,1,1,1,1,1,2,NA,4,1
2,2,1,2,2,1,1,1,NA,5,1
2,1,1,2,2,2,1,1,2,4,1
2,2,1,2,1,1,1,1,2,5,2
2,2,2,2,1,1,1,1,NA,3,1
2,NA,1,NA,1,1,1,1,NA,4,1
2,2,1,2,2,1,1,1,NA,4,1
2,1,1,1,2,1,1,1,NA,3,2
2,1,1,2,1,1,1,1,1,1,3
2,1,1,2,2,2,1,1,NA,5,3
1,1,1,1,2,2,1,1,1,5,3
2,2,1,2,2,2,1,1,NA,5,3
2,2,2,2,1,1,1,1,NA,5,1
2,2,2,2,1,1,1,1,NA,5,1
2,2,2,2,2,1,1,1,1,5,2
2,2,2,2,2,2,1,2,1,1,1
2,2,2,2,2,1,1,1,NA,5,1
2,2,2,2,2,1,1,2,3,3,2
2,2,2,2,1,1,1,1,1,4,2
2,1,1,1,2,1,1,1,2,5,3
2,2,2,2,2,1,1,1,NA,4,1
2,2,1,2,1,1,1,1,1,5,2
2,1,1,1,1,1,1,1,NA,5,2
2,2,1,1,1,2,1,1,NA,4,1
2,2,2,1,NA,2,1,1,2,4,2
2,2,1,2,1,2,1,1,1,5,2
2,2,1,1,2,1,1,1,NA,5,1
2,2,1,1,NA,1,1,1,NA,5,1
2,2,1,NA,2,1,1,1,2,4,2
2,2,1,1,1,1,1,2,NA,4,1
1,1,2,1,2,1,1,1,NA,2,3
2,2,1,2,2,2,1,1,1,5,3
2,2,2,2,1,1,1,1,1,2,2
2,2,1,1,1,2,1,1,1,5,1
1,1,1,1,1,1,1,1,NA,5,1
2,2,1,2,1,2,1,1,NA,5,1
2,2,1,1,1,1,1,1,2,4,3
2,1,1,2,1,1,1,1,1,4,2
2,2,1,NA,1,2,1,1,2,5,1
2,2,2,2,2,2,1,2,1,5,3
2,1,1,2,2,1,1,1,1,5,2
2,2,1,2,1,2,1,1,NA,3,1
2,2,2,2,2,1,1,1,2,4,1
2,2,1,NA,2,1,1,1,2,5,2
2,2,2,NA,2,1,1,1,NA,4,3
2,2,2,2,2,2,1,1,NA,5,1
2,2,1,2,2,1,1,1,2,5,2
2,2,1,2,2,2,1,1,NA,4,3
2,1,1,1,1,1,1,1,NA,2,1
2,1,1,1,1,1,1,1,NA,5,2
2,1,1,1,1,1,1,1,1,5,1
2,NA,2,2,1,1,1,1,1,5,1
2,2,1,1,2,2,1,1,NA,5,1
2,2,1,2,2,1,1,1,NA,5,1
2,2,2,2,2,2,1,1,NA,4,2
2,2,1,2,1,2,2,1,NA,4,1
2,2,1,NA,2,2,1,1,1,3,1
2,2,1,2,1,2,1,2,NA,4,1
2,2,2,2,1,1,1,1,2,4,1
2,2,2,2,2,2,1,2,NA,4,1
2,1,1,2,1,1,1,1,NA,4,2
2,2,NA,2,2,2,1,1,1,3,2
2,2,1,NA,2,1,1,1,NA,5,1
2,2,1,2,1,1,1,1,1,4,1
2,2,2,2,2,1,1,1,1,2,1
2,1,1,1,NA,1,1,1,2,4,1
2,2,1,1,1,1,1,1,NA,2,1
2,2,2,2,1,1,1,1,2,2,2
2,1,1,1,1,2,1,1,NA,5,3
2,1,1,2,1,1,1,1,1,5,3
2,2,1,1,2,1,1,1,2,5,1
2,2,1,2,2,2,1,1,1,4,1
2,2,2,2,1,1,1,1,1,3,1
2,1,1,2,1,1,1,1,2,5,2
2,1,1,2,2,2,1,1,2,3,1
2,2,1,1,1,1,1,1,NA,4,1
2,2,1,1,1,2,1,1,NA,1,3
2,1,1,1,1,1,1,1,5,5,2
2,2,1,1,1,1,1,1,NA,5,1
2,2,1,2,1,1,1,1,NA,5,3
2,2,1,1,1,2,1,1,NA,4,3
2,2,1,2,1,1,1,1,2,5,2
2,1,1,1,1,2,1,1,1,5,2
2,NA,1,2,1,2,1,1,NA,5,1
2,2,1,1,2,2,2,1,NA,5,2
2,2,1,2,2,2,1,1,NA,5,1
2,2,2,1,2,1,1,1,2,3,1
2,2,2,2,2,1,1,2,1,2,2
2,2,2,2,2,1,1,1,NA,3,2
2,2,1,1,2,2,1,1,NA,3,1
2,2,1,2,2,1,1,1,NA,5,2
2,2,1,2,1,1,1,1,NA,5,2
2,2,2,2,2,2,1,1,NA,1,1
2,2,1,2,2,1,1,1,NA,5,2
2,1,1,2,1,1,1,2,NA,5,1
2,2,1,2,2,2,1,NA,NA,5,1
2,2,2,2,1,2,1,1,1,5,2
2,1,1,1,1,1,1,1,NA,5,1
2,1,1,2,2,1,1,1,1,4,2
2,1,1,1,1,1,1,1,NA,5,2
2,NA,1,1,1,2,1,1,1,3,1
2,2,2,1,2,2,1,1,NA,2,3
2,1,1,1,2,1,1,1,1,4,3
2,2,1,1,1,NA,1,2,NA,3,1
2,2,1,2,1,1,1,1,2,5,2
2,2,1,2,1,2,1,1,NA,2,2
2,2,1,2,1,2,1,1,NA,4,3
2,2,1,2,2,2,1,1,1,1,1
2,2,2,1,1,2,1,1,NA,4,1
2,1,1,2,1,1,1,2,NA,3,2
2,2,2,2,2,1,1,1,NA,3,3
2,2,2,1,2,1,1,1,NA,4,2
2,2,1,2,1,2,1,1,1,1,2
2,2,1,2,1,1,1,1,NA,5,3
2,2,1,1,1,1,1,1,1,5,2
2,2,1,2,1,1,1,1,2,4,3
2,2,1,1,1,1,1,1,NA,5,1
2,2,1,1,1,1,NA,2,NA,4,1
2,2,1,1,1,1,1,1,1,5,2
2,2,1,2,2,2,1,1,NA,5,3
2,1,1,1,1,1,1,1,1,5,2
2,2,2,1,2,2,2,1,1,4,1
2,1,1,1,2,2,1,1,NA,5,1
2,2,1,2,2,2,1,1,2,5,1
2,2,2,2,1,2,1,1,NA,3,3
2,2,1,1,1,1,1,1,2,5,2
2,2,2,2,2,2,2,2,2,2,1
2,2,1,1,1,2,1,1,2,5,3
2,2,2,2,2,NA,1,1,NA,5,1
2,2,NA,1,1,2,1,1,NA,4,1
2,2,2,2,2,1,1,1,5,1,3
2,2,1,2,1,1,1,1,NA,5,2
2,2,2,2,2,1,1,1,NA,4,1
2,2,2,2,2,1,1,1,NA,1,1
2,1,1,2,1,1,1,2,1,4,1
2,2,2,2,1,1,1,1,2,3,2
2,2,1,2,2,2,1,1,2,5,2
2,2,1,2,2,1,1,1,1,1,2
2,2,2,2,2,1,1,2,1,1,1
2,NA,NA,NA,1,1,1,1,1,4,1
2,2,1,2,2,2,1,1,NA,4,2
2,1,1,1,1,1,1,1,NA,5,3
2,1,1,2,1,1,1,1,1,5,1
2,2,2,2,2,2,1,1,2,4,1
2,NA,1,1,1,1,1,1,1,1,3
2,1,1,NA,2,1,1,1,1,5,2
2,2,1,2,2,1,1,1,2,2,1
2,2,1,1,2,2,1,2,NA,5,3
2,2,2,2,1,1,1,1,NA,3,3
2,2,1,1,2,1,1,1,NA,5,1
2,2,1,1,1,1,1,2,NA,5,1
2,2,1,2,1,1,1,1,1,3,1
2,1,1,1,1,1,1,1,1,2,1
2,1,1,2,2,1,1,1,1,2,3
2,2,NA,2,2,2,1,1,NA,5,1
2,2,2,1,1,2,1,1,1,5,1
2,1,1,1,1,1,1,1,NA,1,2
2,2,1,2,NA,1,1,1,NA,5,1
2,1,1,1,1,1,1,1,NA,5,2
2,2,2,2,1,1,1,1,NA,4,2
2,2,2,2,1,1,1,1,NA,4,1
2,2,1,1,1,2,1,1,NA,5,2
2,2,2,2,2,2,1,1,NA,5,1
2,2,1,2,2,1,1,1,2,4,1
2,2,1,1,1,1,1,1,1,3,3
2,2,1,NA,2,1,1,1,NA,5,1
2,2,2,1,1,2,1,2,NA,5,1
2,2,1,NA,1,NA,1,1,NA,5,1
2,2,2,2,2,1,1,1,2,5,1
2,2,1,2,1,1,1,1,1,5,3
2,2,1,2,2,1,1,1,1,5,2
2,2,2,2,2,1,1,1,NA,5,1
2,2,1,2,2,2,1,1,NA,5,1
2,1,2,2,2,1,1,NA,2,3,2
2,2,1,1,1,2,1,2,NA,3,1
2,2,2,2,2,1,1,1,2,4,3
2,2,1,2,1,2,2,1,NA,5,2
2,2,1,2,1,1,1,1,NA,5,2
2,1,1,1,1,1,1,1,1,5,1
2,2,1,1,2,1,1,1,1,5,2
2,1,1,2,1,1,1,1,NA,5,1
2,2,1,1,2,1,1,1,NA,2,1
2,NA,1,1,2,2,1,1,NA,5,1
2,2,2,2,1,1,1,1,1,4,1
2,2,1,2,1,1,1,1,2,3,3
2,2,2,1,1,2,1,1,1,3,3
2,1,1,1,2,1,1,1,NA,5,1
